filename=: 1.jpg,  aircraft number=: 14 
x-pos         , y-pos         , x-pos         , y-pos         , direction
248.723083, 73.15384, 272.1323, 58.52307, 0   
424.292328, 311.6353, 447.7015, 295.5415, 0   
583.767700, 304.3200, 611.5661, 283.8369, 1   
459.406158, 355.5277, 481.3523, 337.9707, 0   
349.675385, 626.1969, 374.5476, 608.6400, 1   
550.116943, 476.9630, 574.9892, 457.9430, 0   
418.440002, 722.7600, 447.7015, 702.2769, 1   
482.815399, 601.3246, 515.0031, 577.9154, 1   
520.855408, 645.2169, 548.6538, 623.2707, 1   
558.895386, 690.5723, 585.2307, 670.0892, 1   
627.660034, 782.7461, 653.9954, 765.1892, 1   
756.410767, 757.8738, 784.2092, 740.3169, 0   
724.223083, 713.9815, 747.6323, 694.9615, 0   
692.035400, 662.7738, 711.0554, 646.6799, 0   
655.458496, 617.4184, 677.4046, 598.3984, 0   
582.304626, 525.2446, 610.1030, 504.7615, 0   
620.344604, 567.6738, 645.2169, 547.1907, 0   
926.127686, 456.4800, 951.0000, 493.0569, 1   


filename=: 4.jpg,  aircraft number=: 9 
x-pos         , y-pos         , x-pos         , y-pos         , direction
528.304626, 74.22461, 580.6984, 72.76923, 0   
532.670776, 151.3600, 582.1538, 146.9938, 0   
541.403076, 228.4953, 579.2431, 228.4953, 0   
526.849243, 317.2738, 569.0553, 315.8184, 0   
529.760010, 387.1322, 570.5107, 382.7661, 0   
535.581543, 456.9907, 585.0646, 455.5353, 0   
538.492310, 526.8492, 589.4307, 523.9384, 0   
541.403076, 596.7077, 592.3415, 596.7077, 0   
550.135376, 737.8800, 602.5292, 733.5138, 0   


filename=: 5.jpg,  aircraft number=: 38 
x-pos         , y-pos         , x-pos         , y-pos         , direction
232.976929, 102.2092, 254.0200, 70.64461, 1   
327.670776, 42.08615, 338.1922, 69.14154, 1   
393.806152, 175.8600, 410.3399, 145.7984, 1   
404.327698, 90.18461, 420.8615, 61.62615, 0   
456.935394, 102.2092, 474.9722, 69.14154, 0   
520.064636, 94.69384, 506.5369, 124.7553, 1   
425.895386, 234.5915, 428.3769, 264.5415, 0   
773.593567, 216.4386, 801.5211, 205.2676, 0   
768.072327, 237.4861, 796.6307, 245.0015, 0   
724.483093, 314.1430, 750.0354, 326.1676, 0   
763.818909, 621.3883, 778.5938, 595.2184, 1   
865.772278, 665.8630, 861.2630, 637.3046, 1   
880.803040, 619.2677, 895.8338, 640.3107, 0   
772.581543, 733.5015, 784.6061, 707.9492, 0   
799.636902, 762.0599, 823.6861, 775.5877, 0   
805.710266, 805.7102, 796.6307, 784.6061, 1   
677.887695, 814.6676, 667.3661, 795.1276, 1   
625.279968, 861.2630, 646.3230, 838.7169, 1   
590.709229, 841.7230, 613.2553, 832.7045, 1   
529.083069, 811.6615, 556.1384, 762.0599, 0   
228.467697, 783.1030, 207.4246, 738.0107, 1   
392.303070, 921.3861, 383.2846, 894.3307, 1   
312.639984, 820.6799, 333.6830, 832.7045, 1   
323.161530, 765.0661, 365.2476, 789.1153, 1   
434.389221, 759.0538, 480.9846, 783.1030, 0   
462.947693, 715.4646, 505.0338, 735.0046, 0   
503.530762, 667.3661, 530.5861, 667.3661, 0   
380.278473, 680.8938, 408.8369, 695.9246, 1   
88.681541 , 232.9769, 112.7307, 282.5784, 1   
72.147690 , 315.6461, 123.2523, 314.1430, 1   
139.786148, 260.0323, 163.8353, 214.9400, 0   
187.884613, 285.5846, 211.9338, 240.4923, 0   
186.381531, 390.7999, 208.9276, 350.2169, 1   
237.486145, 411.8430, 255.5230, 374.2661, 1   
282.578461, 335.1861, 305.1246, 290.0938, 0   
327.670776, 360.7384, 353.2230, 314.1430, 0   
377.272308, 386.2907, 398.3153, 342.7015, 0   
434.273651, 356.0764, 443.4076, 375.7692, 1   


filename=: 6.jpg,  aircraft number=: 48 
x-pos         , y-pos         , x-pos         , y-pos         , direction
18.940001 , 7.284616, 33.50923, 20.39692, 0   
72.846153 , 77.21692, 84.50154, 103.4415, 0   
238.935394, 27.68154, 259.3323, 61.19077, 1   
1018.38928, 217.0815, 1057.726, 218.5384, 0   
321.980011, 297.2123, 338.0061, 265.1600, 0   
307.366455, 342.5714, 335.0923, 333.6354, 1   
486.612335, 859.5846, 521.5784, 877.0677, 0   
450.189240, 896.0077, 463.3015, 882.8953, 1   
425.421539, 826.0754, 457.4738, 845.0154, 1   
355.489258, 772.1692, 365.6877, 791.1092, 0   
463.301544, 754.6861, 496.8107, 770.7123, 1   
488.069244, 727.0046, 507.0092, 738.6600, 1   
642.503113, 818.7907, 667.2708, 828.9892, 1   
658.529236, 795.4800, 670.1846, 808.5923, 1   
820.247742, 795.4800, 801.5900, 786.6956, 1   
818.790771, 769.2554, 798.3938, 772.1692, 1   
693.267090, 781.2795, 709.5215, 773.6261, 1   
738.660034, 744.4877, 756.1431, 740.1169, 0   
725.547729, 724.0908, 743.0308, 715.3492, 0   
680.383118, 731.3754, 696.4092, 728.4615, 1   
776.540039, 681.8400, 788.1954, 659.9862, 1   
801.590088, 695.9751, 817.8385, 674.3105, 1   
849.386169, 643.9600, 862.4984, 632.3046, 0   
865.229797, 649.9378, 889.6024, 643.1677, 0   
871.240051, 664.3569, 890.1800, 674.5554, 0   
996.535400, 520.1215, 1009.647, 536.1477, 1   
983.423096, 451.6461, 990.7077, 476.4138, 1   
744.487732, 335.0923, 748.8584, 358.4030, 1   
767.798462, 367.1446, 781.2795, 346.6335, 0   
783.987610, 375.0683, 807.0062, 366.9440, 0   
567.341614, 411.6273, 572.5708, 428.3353, 1   
412.309235, 463.3015, 431.2492, 432.7061, 0   
448.732330, 482.2415, 466.2153, 450.1892, 0   
413.766174, 543.4323, 434.1630, 520.1215, 1   
375.886169, 524.4923, 396.2830, 490.9830, 1   
340.920013, 502.6384, 361.3169, 473.5000, 1   
256.418457, 450.1892, 297.2123, 448.7323, 1   
275.358459, 390.4553, 282.6430, 422.5077, 1   
304.496948, 407.9384, 323.4369, 375.8861, 0   
340.920013, 428.3353, 358.4030, 397.7400, 0   
378.800018, 444.3615, 393.3692, 416.6800, 0   
461.844635, 343.8338, 474.9569, 323.4369, 1   
495.577637, 347.9875, 508.4661, 324.8938, 1   
524.492310, 356.9461, 537.6046, 338.0061, 1   
549.260010, 288.4707, 560.9154, 263.7030, 0   
450.189240, 243.3061, 456.0169, 266.6169, 1   
470.586182, 257.8753, 483.6984, 240.3923, 0   
878.770203, 702.7453, 863.8757, 683.7888, 1   


filename=: 7.jpg,  aircraft number=: 38 
x-pos         , y-pos         , x-pos         , y-pos         , direction
378.936920, 200.4415, 408.1984, 177.0323, 0   
434.533844, 155.0861, 459.4061, 137.5292, 0   
400.883087, 220.9246, 430.1446, 200.4415, 0   
456.480011, 175.5692, 471.1107, 163.8646, 0   
536.949219, 213.6092, 538.4122, 234.0923, 0   
551.580017, 251.6492, 563.2846, 250.1861, 1   
525.244629, 340.8969, 538.4122, 355.5277, 1   
545.727722, 335.0446, 567.6738, 314.5615, 0   
596.935425, 317.4877, 615.9553, 304.3200, 0   
566.210754, 361.3800, 585.2307, 343.8230, 0   
585.230774, 381.8630, 608.6400, 365.7692, 0   
615.955383, 335.0446, 629.1231, 324.8030, 0   
634.975403, 356.9907, 651.0692, 342.3600, 0   
607.176941, 409.6615, 627.6600, 392.1046, 0   
653.995422, 376.0107, 665.7000, 362.8430, 0   
661.310791, 424.2923, 675.9415, 440.3861, 0   
643.753845, 443.3123, 659.8477, 462.3323, 0   
684.720032, 406.7353, 697.8876, 425.7554, 0   
713.981567, 516.4661, 697.8876, 501.8353, 1   
716.907715, 482.8153, 731.5384, 498.9092, 0   
907.107727, 670.0892, 905.6446, 639.3646, 1   
871.993835, 662.7738, 888.0877, 681.7938, 1   
852.973877, 683.2569, 870.5307, 699.3507, 1   
994.892334, 791.5246, 1021.227, 766.6523, 0   
1018.30157, 801.7661, 1050.489, 801.7661, 1   
1218.74304, 914.4230, 1230.447, 927.5907, 1   
1332.86315, 847.1215, 1344.567, 835.4169, 1   
1343.10461, 926.1276, 1354.809, 917.3492, 0   
1353.34619, 937.8323, 1365.050, 929.0538, 0   
399.420013, 402.3461, 414.0507, 400.8830, 1   
447.701538, 465.2584, 460.8692, 465.2584, 1   
472.573853, 444.7753, 481.3523, 450.6276, 1   
484.278473, 433.0707, 490.1307, 440.3861, 0   
504.761536, 415.5138, 515.0031, 415.5138, 0   
414.050781, 389.1784, 427.2184, 390.6415, 1   
531.545532, 406.4760, 519.3104, 402.3976, 0   
505.715973, 428.2272, 494.8403, 426.8677, 0   
1291.47900, 860.5328, 1299.635, 851.0166, 0   


filename=: 8.jpg,  aircraft number=: 34 
x-pos         , y-pos         , x-pos         , y-pos         , direction
203.367691, 431.6076, 238.4815, 430.1446, 1   
313.098480, 415.5138, 333.5815, 415.5138, 0   
317.487701, 455.0169, 335.0446, 456.4800, 0   
440.386169, 408.1984, 457.9430, 406.7353, 0   
440.386169, 437.4600, 460.8692, 435.9969, 0   
443.312317, 466.7215, 460.8692, 466.7215, 0   
449.164612, 493.0569, 466.7215, 494.5200, 0   
449.164612, 523.7815, 465.2584, 522.3184, 0   
453.553864, 550.1169, 469.6477, 551.5800, 0   
453.553864, 577.9154, 471.1107, 577.9154, 0   
456.480011, 610.1030, 472.5738, 607.1769, 0   
457.943085, 636.4384, 474.0369, 634.9754, 0   
457.943085, 668.6261, 476.9630, 668.6261, 0   
558.895386, 684.7200, 576.4523, 683.2569, 0   
555.969238, 629.1231, 570.6000, 629.1231, 0   
637.901550, 636.4384, 652.5323, 636.4384, 1   
554.506165, 599.8615, 570.6000, 599.8615, 0   
632.049255, 582.3046, 651.0692, 582.3046, 1   
548.653870, 544.2646, 564.7476, 544.2646, 0   
547.190796, 517.9292, 560.3584, 515.0031, 0   
563.284607, 557.4323, 580.8415, 557.4323, 1   
615.955383, 541.3385, 632.0492, 542.8015, 0   
627.660034, 528.1707, 648.1430, 526.7077, 1   
615.955383, 515.0031, 632.0492, 510.6138, 0   
624.733887, 471.1107, 643.7538, 469.6477, 1   
557.432312, 500.3723, 574.9892, 500.3723, 1   
557.432312, 475.5000, 574.9892, 475.5000, 1   
557.432312, 447.7015, 572.0631, 446.2384, 1   
610.103088, 459.4061, 627.6600, 457.9430, 0   
539.875366, 435.9969, 558.8953, 434.5338, 0   
539.875366, 406.7353, 554.5061, 405.2723, 0   
550.116943, 390.6415, 566.2107, 390.6415, 0   
1006.59692, 367.2323, 1040.247, 365.7692, 0   
1002.20770, 318.9507, 1032.932, 317.4877, 0   


filename=: 9.jpg,  aircraft number=: 27 
x-pos         , y-pos         , x-pos         , y-pos         , direction
386.252319, 531.0969, 397.9569, 494.5200, 0   
431.607697, 538.4122, 444.7753, 506.2246, 0   
504.761536, 564.7476, 510.6138, 550.1169, 0   
526.707703, 574.9892, 532.5599, 560.3584, 0   
626.196960, 602.7877, 630.5861, 588.1569, 0   
289.689240, 651.0692, 308.7092, 626.1969, 0   
337.970764, 611.5661, 370.1584, 620.3446, 1   
324.803070, 646.6799, 355.5277, 653.9954, 0   
381.863098, 661.3107, 414.0507, 671.5523, 0   
393.567688, 629.1231, 425.7554, 642.2907, 1   
399.420013, 595.4722, 433.0707, 605.7138, 0   
475.500000, 618.8815, 493.0569, 629.1231, 0   
460.869232, 652.5323, 475.5000, 656.9215, 0   
450.627686, 684.7200, 481.3523, 696.4246, 0   
610.103088, 653.9954, 614.4923, 637.9015, 1   
528.170776, 645.2169, 544.2646, 651.0692, 0   
512.076904, 692.0354, 531.0969, 696.4246, 0   
535.486145, 674.4784, 515.0031, 667.1630, 1   
741.780029, 759.3369, 747.6323, 744.7061, 1   
852.973877, 741.7800, 855.9000, 727.1492, 0   
797.376953, 792.9877, 804.6923, 776.8938, 0   
910.033875, 812.0076, 915.8861, 795.9138, 1   
923.201538, 813.4707, 917.3492, 825.1754, 1   
936.369263, 819.3231, 940.7584, 804.6923, 1   
955.389221, 828.1015, 961.2415, 810.5446, 1   
970.020020, 708.1292, 989.0400, 667.1630, 0   
355.527710, 733.0015, 371.6215, 740.3169, 1   


filename=: 10.jpg,  aircraft number=: 28 
x-pos         , y-pos         , x-pos         , y-pos         , direction
74.616928 , 476.9630, 106.8046, 433.0707, 0   
223.850769, 288.2261, 241.4077, 237.0184, 0   
292.615387, 308.7092, 310.1723, 254.5753, 0   
130.213852, 469.6477, 175.5692, 478.4261, 0   
150.696930, 416.9769, 203.3676, 433.0707, 1   
241.407700, 390.6415, 295.5415, 406.7353, 0   
231.166153, 441.8492, 283.8369, 457.9430, 0   
215.072311, 491.5938, 269.2061, 509.1507, 0   
326.266174, 525.2446, 368.6954, 536.9492, 0   
339.433838, 478.4261, 359.9169, 484.2784, 0   
355.527710, 433.0707, 386.2523, 441.8492, 0   
405.272308, 343.8230, 414.0507, 324.8030, 0   
440.386169, 358.4538, 446.2384, 336.5076, 0   
586.693848, 402.3461, 595.4722, 378.9369, 0   
440.386169, 468.1846, 466.7215, 472.5738, 0   
419.903076, 539.8753, 441.8492, 547.1907, 0   
450.627686, 512.0769, 425.7554, 504.7615, 1   
564.747681, 478.4261, 570.6000, 453.5538, 1   
178.495392, 601.3246, 204.8307, 610.1030, 1   
1114.86462, 558.8953, 1138.273, 503.2984, 0   
933.443115, 610.1030, 939.2954, 591.0830, 0   
1000.74462, 629.1231, 1008.059, 610.1030, 0   
765.189270, 643.7538, 771.0415, 620.3446, 1   
851.510803, 687.6461, 857.3630, 662.7738, 0   
1021.22772, 718.3707, 1027.080, 694.9615, 1   
1034.39538, 743.2431, 1038.784, 722.7600, 0   
1057.80468, 728.6123, 1065.119, 706.6661, 1   
1091.45544, 738.8538, 1100.233, 716.9077, 1   


filename=: 11.jpg,  aircraft number=: 18 
x-pos         , y-pos         , x-pos         , y-pos         , direction
1173.38769, 630.5861, 1173.387, 753.4846, 0   
421.366150, 656.9215, 453.5538, 655.4584, 1   
471.110779, 703.7399, 472.5738, 680.3308, 1   
197.515381, 592.5461, 194.5892, 564.7476, 1   
292.615387, 589.6199, 294.0784, 553.0430, 1   
414.050781, 615.9553, 435.9969, 594.0092, 1   
506.224609, 504.7615, 500.3723, 472.5738, 0   
447.701538, 503.2984, 444.7753, 459.4061, 0   
380.399994, 501.8353, 383.3261, 472.5738, 0   
339.433838, 507.6877, 339.4338, 474.0369, 0   
611.566162, 77.54307, 620.3446, 108.2676, 1   
655.458496, 141.9184, 683.2569, 141.9184, 0   
652.532349, 184.3477, 680.3308, 182.8846, 0   
658.384644, 229.7030, 689.1092, 228.2400, 0   
662.773865, 318.9507, 693.4984, 320.4138, 0   
664.236938, 367.2323, 693.4984, 364.3061, 0   
662.773865, 408.1984, 693.4984, 411.1246, 0   
674.478455, 457.9430, 700.8138, 446.2384, 0   


filename=: 12.jpg,  aircraft number=: 13 
x-pos         , y-pos         , x-pos         , y-pos         , direction
456.480011, 585.2307, 450.6276, 512.0769, 0   
596.935425, 769.5784, 626.1969, 730.0753, 1   
588.156921, 697.8876, 620.3446, 693.4984, 1   
659.847717, 689.1092, 661.3107, 760.7999, 0   
700.813843, 692.0354, 738.8538, 689.1092, 0   
708.129272, 651.0692, 737.3908, 651.0692, 0   
702.276917, 611.5661, 728.6123, 580.8415, 0   
656.921570, 604.2507, 655.4584, 569.1369, 0   
602.787720, 520.8554, 570.6000, 488.6676, 1   
390.641541, 440.3861, 390.6415, 406.7353, 0   
438.923096, 450.6276, 435.9969, 408.1984, 0   
452.090790, 345.2861, 453.5538, 308.7092, 0   
522.318481, 345.2861, 520.8554, 277.9846, 0   


filename=: 13.jpg,  aircraft number=: 19 
x-pos         , y-pos         , x-pos         , y-pos         , direction
65.838463 , 588.1569, 76.08000, 611.5661, 1   
153.623077, 675.9415, 168.2538, 700.8138, 0   
181.421539, 772.5046, 197.5153, 798.8400, 0   
238.481537, 773.9677, 226.7769, 752.0215, 1   
295.541534, 754.9476, 280.9107, 731.5384, 1   
323.339996, 852.9738, 308.7092, 822.2492, 1   
416.976929, 731.5384, 446.2384, 715.4446, 0   
1126.56921, 671.5523, 1161.683, 659.8477, 0   
1151.44152, 694.9615, 1177.776, 680.3308, 1   
1154.36767, 731.5384, 1182.166, 713.9815, 0   
1182.16613, 779.8200, 1207.038, 766.6523, 0   
1205.57543, 839.8061, 1234.836, 823.7123, 0   
1177.77697, 506.2246, 1215.816, 501.8353, 1   
1305.06469, 528.1707, 1332.863, 528.1707, 0   
1300.67541, 487.2046, 1334.326, 487.2046, 0   
990.503113, 61.44923, 997.8184, 89.24769, 0   
1084.14001, 93.63692, 1084.140, 64.37538, 1   
1128.03234, 90.71077, 1125.106, 59.98615, 1   
1130.95849, 209.2200, 1128.032, 178.4953, 0   


filename=: 14.jpg,  aircraft number=: 16 
x-pos         , y-pos         , x-pos         , y-pos         , direction
408.198456, 901.2553, 406.7353, 854.4369, 0   
535.486145, 879.3092, 534.0230, 857.3630, 1   
453.553864, 792.9877, 529.6338, 790.0615, 0   
498.909241, 733.0015, 528.1707, 674.4784, 1   
311.635376, 721.2969, 371.6215, 667.1630, 1   
292.615387, 617.4184, 336.5076, 615.9553, 1   
314.561554, 509.1507, 373.0846, 569.1369, 1   
399.420013, 484.2784, 444.7753, 553.0430, 1   
460.869232, 444.7753, 490.1307, 491.5938, 1   
478.426147, 373.0846, 516.4661, 307.2461, 1   
396.493866, 371.6215, 433.0707, 301.3938, 1   
304.320007, 352.6015, 361.3800, 302.8569, 1   
280.910767, 256.0384, 327.7292, 254.5753, 1   
299.930786, 153.6230, 355.5277, 209.2200, 1   
389.178467, 124.3615, 406.7353, 163.8646, 1   
370.158478, 16.09384, 424.2923, 14.63077, 1   


filename=: 15.jpg,  aircraft number=: 7 
x-pos         , y-pos         , x-pos         , y-pos         , direction
409.661560, 513.5400, 416.9769, 428.6815, 0   
130.213852, 602.7877, 130.2138, 580.8415, 0   
491.593842, 813.4707, 494.5200, 765.1892, 0   
554.506165, 146.3076, 554.5061, 121.4353, 1   
601.324646, 81.93231, 601.3246, 55.59692, 1   
640.827698, 81.93231, 643.7538, 57.06000, 1   
624.733887, 155.0861, 626.1969, 130.2138, 1   


filename=: 16.jpg,  aircraft number=: 10 
x-pos         , y-pos         , x-pos         , y-pos         , direction
756.410767, 358.4538, 838.3430, 320.4138, 1   
817.859985, 84.85845, 889.5507, 43.89230, 0   
813.470764, 507.6877, 816.3969, 488.6676, 0   
788.598450, 696.4246, 787.1353, 673.0153, 0   
806.155396, 677.4046, 806.1553, 659.8477, 1   
867.604614, 727.1492, 885.1615, 730.0753, 0   
798.840027, 768.1154, 800.3031, 746.1692, 1   
901.255371, 817.8599, 920.2753, 813.4707, 0   
792.987732, 858.8261, 794.4508, 841.2692, 1   
955.389221, 912.9600, 987.5769, 918.8123, 0   


filename=: 17.jpg,  aircraft number=: 6 
x-pos         , y-pos         , x-pos         , y-pos         , direction
847.121582, 760.7999, 920.2753, 626.1969, 1   
633.512329, 762.2630, 727.1492, 595.4722, 1   
551.580017, 579.3784, 405.2723, 713.9815, 0   
359.916931, 471.1107, 465.2584, 465.2584, 1   
408.198456, 226.7769, 541.3385, 358.4538, 1   
624.733887, 158.0123, 656.9215, 244.3338, 1   


filename=: 18.jpg,  aircraft number=: 13 
x-pos         , y-pos         , x-pos         , y-pos         , direction
620.053894, 352.8554, 621.3323, 332.4000, 1   
652.015381, 357.9692, 653.2938, 333.6784, 1   
629.003113, 427.0061, 631.5599, 406.5507, 1   
663.521545, 428.2846, 664.8000, 410.3861, 1   
612.383118, 447.4615, 612.3831, 425.7276, 0   
644.344604, 450.0184, 645.6231, 429.5630, 0   
678.863098, 450.0184, 677.5846, 430.8415, 0   
630.281555, 553.5738, 634.1169, 533.1184, 0   
645.623108, 636.6738, 645.6231, 605.9907, 1   
571.472351, 774.7477, 572.7507, 753.0138, 1   
641.787720, 782.4184, 641.7877, 759.4061, 1   
616.218506, 710.8246, 617.4969, 685.2554, 1   
659.686157, 713.3815, 659.6861, 690.3692, 1   


filename=: 19.jpg,  aircraft number=: 5 
x-pos         , y-pos         , x-pos         , y-pos         , direction
111.193848, 188.7369, 335.0446, 2.926154, 1   
791.524658, 216.5353, 879.3092, 52.67076, 1   
623.270752, 446.2384, 893.9400, 438.9230, 0   
438.923096, 694.9615, 434.5338, 863.2153, 1   
923.201538, 697.8876, 936.3692, 803.2292, 0   


filename=: 20.jpg,  aircraft number=: 34 
x-pos         , y-pos         , x-pos         , y-pos         , direction
844.541504, 136.0122, 879.3353, 136.0122, 1   
888.824585, 143.9199, 912.5476, 164.4799, 1   
1018.51074, 457.0646, 1039.070, 480.7876, 1   
1238.34460, 389.0584, 1268.393, 363.7538, 1   
1222.52917, 461.8092, 1255.741, 445.9938, 0   
1102.33227, 433.3415, 1122.892, 417.5261, 0   
1162.43078, 528.2338, 1198.806, 531.3969, 0   
1133.96301, 540.8861, 1156.104, 570.9353, 0   
1103.91381, 580.4246, 1105.495, 613.6369, 0   
1315.83996, 691.1323, 1323.747, 659.5015, 0   
1220.94763, 771.7907, 1246.252, 749.6492, 0   
1611.58764, 820.8184, 1636.892, 795.5138, 0   
1635.31079, 827.1445, 1659.033, 847.7045, 1   
1613.16918, 893.5692, 1643.218, 918.8738, 0   
1568.88610, 937.8522, 1595.772, 961.5753, 0   
1009.02154, 873.0092, 1026.418, 890.4061, 0   
1005.85845, 800.2584, 1032.744, 778.1168, 0   
922.036926, 746.4861, 952.0861, 724.3446, 0   
874.590759, 702.2030, 906.2214, 680.0615, 0   
839.796936, 665.8276, 868.2645, 646.8492, 0   
811.329224, 624.7077, 847.7045, 597.8215, 0   
645.267700, 445.9938, 675.3168, 422.2707, 0   
248.301529, 422.2707, 272.0245, 389.0584, 0   
325.796906, 502.9292, 351.1015, 480.7876, 0   
360.590759, 542.4677, 384.3138, 523.4891, 0   
408.036926, 594.6584, 434.9230, 572.5169, 0   
450.738464, 640.5230, 480.7876, 618.3815, 0   
615.218445, 667.4092, 638.9415, 642.1046, 0   
665.827698, 687.9692, 683.2246, 668.9907, 0   
708.529236, 727.5076, 732.2523, 703.7846, 0   
743.323059, 765.4646, 771.7907, 741.7415, 0   
801.839966, 803.4215, 825.5630, 778.1168, 0   
842.959961, 825.5630, 866.6830, 800.2584, 0   
890.406128, 857.1938, 917.2922, 833.4707, 0   


filename=: 21.jpg,  aircraft number=: 48 
x-pos         , y-pos         , x-pos         , y-pos         , direction
626.289246, 379.5692, 632.6153, 355.8461, 0   
570.935364, 403.2922, 607.3107, 409.6184, 1   
771.790771, 721.1815, 797.0953, 725.9261, 0   
17.396923 , 623.1261, 3.163077, 632.6153, 0   
25.304615 , 558.2830, 45.86461, 548.7938, 0   
11.070769 , 529.8153, 26.88615, 523.4891, 0   
260.953857, 855.6123, 262.5353, 830.3076, 1   
357.427673, 841.3784, 357.4276, 820.8184, 1   
137.593842, 959.9938, 159.7353, 959.9938, 0   
226.160004, 918.8738, 243.5569, 920.4553, 0   
224.578461, 956.8307, 245.1384, 958.4122, 0   
309.981537, 931.5261, 327.3784, 929.9445, 1   
306.818451, 963.1569, 325.7969, 964.7384, 1   
362.172302, 947.3415, 385.8953, 945.7600, 0   
439.667694, 873.0092, 479.2061, 873.0092, 1   
450.738464, 918.8738, 476.0430, 915.7107, 1   
450.738464, 994.7876, 480.7876, 996.3692, 1   
544.049194, 869.8461, 567.7722, 868.2645, 0   
642.104614, 786.0245, 676.8984, 787.6061, 0   
1130.79992, 869.8461, 1157.686, 871.4276, 0   
1137.12609, 839.7969, 1154.523, 838.2153, 0   
1266.81225, 495.0215, 1288.953, 498.1846, 0   
1276.30151, 419.1076, 1298.443, 423.8522, 0   
1287.37231, 382.7323, 1307.932, 382.7323, 0   
1292.11694, 343.1938, 1312.676, 347.9384, 0   
1296.86157, 309.9815, 1319.003, 311.5630, 0   
1241.50769, 291.0030, 1262.067, 295.7476, 1   
1238.34460, 325.7969, 1255.741, 328.9599, 1   
1228.85534, 357.4276, 1250.996, 362.1723, 1   
1404.40612, 360.5907, 1424.966, 366.9169, 0   
1407.56921, 324.2153, 1432.873, 325.7969, 0   
1415.47692, 286.2584, 1436.036, 291.0030, 0   
1432.87377, 178.7138, 1451.852, 178.7138, 0   
1583.11999, 156.5723, 1603.679, 159.7353, 0   
1497.71691, 216.6707, 1519.858, 216.6707, 0   
1491.39074, 276.7692, 1511.950, 276.7692, 0   
1481.90148, 306.8184, 1502.461, 305.2369, 0   
1480.31994, 335.2861, 1504.043, 338.4492, 0   
1387.00915, 172.3876, 1391.753, 140.7569, 1   
1295.28002, 199.2738, 1320.584, 196.1107, 1   
1371.19384, 150.2461, 1371.193, 131.2676, 0   
